账号,备注,平台,标题,类型,推荐,阅读（播放）,评论,分享,收藏,点赞,发布时间,链接
用户9913044883337,	,抖音,"#美女老板#跨年#正常穿搭无不良价值观导向",视频,--,234,0,0,1,12,2025-12-28 23:38:00,https://www.iesdouyin.com/share/video/7588902710288663281/?region=&mid=7588902655250074419&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=m0ttfpZhcOFyWfLTcKRLyXK0.iJ3t4UhHXgj3aq66PY-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春美好(味芝树海亮店),	,抖音,"#跨年#美女#无不良引导#老板",视频,--,14,0,0,0,0,2025-12-28 23:23:00,https://www.iesdouyin.com/share/video/7588886840997982927/?region=&mid=7588886838077655835&u_code=27h92g749dh0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=WDnBFhfUgcwd0O6VC2om1q9QJia52IMCe4WZffFpvvI-&share_version=280000&ts=1766996248&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春欢乐（新赛道）,	,抖音,"#跨年#美女#美女老板娘#正常穿搭无不良价值观导向",视频,--,13,0,0,0,1,2025-12-28 23:08:01,https://www.iesdouyin.com/share/video/7588895132847483382/?region=&mid=7588895119580203822&u_code=ha79hg56df0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=XTWOIXnuhqMM5EP8LimJsBY2eBXygLTQZqN4P_gNBCE-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春欢乐（新赛道）,	,抖音,"#跨年#美女#美女老板娘#正常穿搭无不良价值观导向",视频,--,7,0,0,0,0,2025-12-28 23:08:00,https://www.iesdouyin.com/share/video/7588894947035651654/?region=&mid=7588894947152038707&u_code=ha79hg56df0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=CeIkO3Ha8IItJTEL2nsH7yguobWatlbB0Z4_az5PORs-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春美好(味芝树海亮店),	,抖音,"#跨年#美女##老板 #正常穿搭无不良价值观导向",视频,--,45,0,0,0,3,2025-12-28 22:35:00,https://www.iesdouyin.com/share/video/7588886570872487616/?region=&mid=7588886479225883433&u_code=27h92g749dh0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=v7wauWrl3B85bpvUFQRzahLYxc_j6Yd6vGY3w.QH0HY-&share_version=280000&ts=1766996248&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
王泽8397,	,微信视频号,"元旦快到了，新的一年祝大家一路发发发#跨年#元旦快乐#奇葩",视频,--,1701,0,1,2,1,2025-12-28 22:26:09,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvr5tTs2xkJ5GI7wVK9VJ1pzoqswDw3eV12Wfwia6ksuK8M54VsXthJbMOKt7yqzqV3h50rr0szcNs4sibOTTnLVzcupnz4pyYn5diazJjdeYUlk&token=2lt8WBSnjTl4wXMTO6gtFfM1mk3f1H8UmIdwtSKGStBLSicf0QgNIEug0ugPLUwqiaYS3LkAaLRQ5icUTC5iaDusBAAZgHVY27qwafn65VN1voJd0DXC89CFRR8x6FQhPuNoNibFicWBk4Be9h1DC28jvFHxEApB6P9NVe7gOmQAttLg8&idx=1&hy=SH&m=5191efca037cfaf441e4e8742e1215ce&uzid=7a210&web=1
王泽8397,	,微信视频号,"#跨年#抽象#奇葩",视频,--,69,1,1,0,0,2025-12-28 22:24:49,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvI7KZiaZwlx07OJ2Qn9tWthwnwmwicmWPdFc7yVbL0CHeMuAfxBiaDeMbicKY4aLg09ibMjMaz6CB4X8fvbXPMYKicJeQhzZOmKdqNibYeL8k1K6OJ8&token=2lt8WBSnjTl4wXMTO6gtFUqicRPVibHTiakNWO6FFP6eKkjkEtsjCnIeTbZOViaLgYBXCcgd0pj7kibDkBo2NytXbEKDTIccbibJ6jSXibzfCfYIzZba3oGMOhnT0kW62kXxR0ZxzH7gDbIibpEk38uC04EgSfamF8CrRV2tZF0BGrknjuQ&idx=1&hy=SH&m=1977a57d9b1aeb435170c1336565cde8&uzid=7a166&web=1
王泽8397,	,微信视频号,"#跨年#奇葩#抽象",视频,--,51200,7,83,36,20,2025-12-28 22:24:14,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvkJibHbldux0HklhvzlibPLKh4T89ysn5MgicwAic2wWt7ANLXYhS7Qe6T6THNohp2dJyBqx9oHXeKS7BUJ6ibyW9iby0FMFm7BA6xKrlibXrdgcSgc&token=2lt8WBSnjTl4wXMTO6gtFbNicxIuNdN1q5kH9IU0icCHNrxZ6zd9uOEU59ZribtbxibkXC8Rss4IZM7ZWCKWuAwyQibz7T4KLUFW820Cl1B9z7SNDab4bRmriaM7ePmEY0wUNvZXlPpib5Ay38PVrHUp1VWsZC6WxNfycAqDZxp1zFN048&idx=1&hy=SH&m=138c75d6193445fbc8d90ba3d083e52b&uzid=7a166&web=1
王泽8397,	,微信视频号,"#跨年#奇葩#开心",视频,--,11230,0,12,22,9,2025-12-28 22:23:44,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttv0ib8J7cibt3miaoCsfFx9h0TwnJHgdiaxQlB8IicsQW3OyKmkxxs2oZM3HcMibYz6RYjtjy76picUUYUY2BFFLm7qyYMqmUmu5BpNR6G9M3L2micR7s&token=ic1n0xDG6awicvFaCghMV2oiaXkC6J7ia5k0icSWhf8b7f3xDp6l9JGOaiayAvOzGF8FvtzDShLo7NdSyD2ph6gjXaLd4GKkDx6p4iaqd6cITciaHlmdok6dkQHz2CwSXKFOJ0BicZ0EmDtN896mVbOHVdKN27NX1ZSXdOiaibunEDibiaxe8zOQ&idx=1&hy=SH&m=ebb69144e6166f5087849452868127f1&uzid=7a1b6&web=1
新年快乐,	,快手,"#跨年#美女#正常穿搭无不良引导  #气质美女  #就是玩 ",视频,--,4,0,0,--,0,2025-12-28 22:19:02,https://video.kuaishou.com/short-video/3x9vtvdyhg4n4a9
